1	547	Ray Rice
CLE	RB	6	2	2	1	0	1	1	17	0	0	0	0.5	2.9
NYG	RB	11	5	16	3.2	0	2	2	13	0	1	1	0.3	2.9
ATL	FB	9	0	0	0	0	3	2	8	0	1	0	0.3	2.8
GB	RB	4	3	11	3.7	0	1	1	6	0	0	0	0.7	2.7
MIN	FB	12	0	0	0	0	6	2	7	0	0	0	0.2	2.7
CLE	RB	3	8	12	1.5	0	1	1	3	0	0	0	0.8	2.5
CAR	RB	7	7	24	3.4	0	0	0	0	0	0	0	0.3	2.4
ARI	FB	3	0	0	0	0	2	1	12	0	0	0	0.7	2.2
DET	RB	1	1	0	0	0	1	1	9	0	0	0	1.9	1.9
NYJ	FB	16	0	0	0	0	0	0	0	0	0	0	0.1	1.5
CIN	RB	15	3	15	5	0	1	0	0	0	0	0	0.1	1.5
IND	FB	5	0	0	0	0	1	1	5	0	0	0	0.3	1.5
BUF	FB	16	0	0	0	0	1	1	4	0	0	0	0.1	1.4
CAR	RB	4	0	0	0	0	3	1	4	0	0	0	0.4	1.4
BAL	RB	5	3	8	2.7	0	0	0	0	0	0	0	0.2	0.8
CLE	RB	3	3	2	0.7	0	1	0	0	0	0	0	0.1	0.2
MIA	RB	1	1	2	2	0	0	0	0	0	0	0	0.2	0.2
IND	RB	7	0	0	0	0	0	0	0	0	0	0	0	0
NO	RB	13	0	0	0	0	0	0	0	0	0	0	0	0
DET	RB	2	0	0	0	0	0	0	0	0	0	0	0	0
SF	RB	5	0	0	0	0	0	0	0	0	0	0	0	0
NE	FB	1	0	0	0	0	0	0	0	0	0	0	0	0
ATL	RB	12	0	0	0	0	0	0	0	0	0	0	0	0
IND	RB	2	0	0	0	0	0	0	0	0	0	0	0	0
LAR	RB	12	0	0	0	0	1	0	0	0	1	0	0	0
KC	RB	1	0	0	0	0	0	0	0	0	0	0	0	0
MIA	RB	1	0	0	0	0	0	0	0	0	0	0	0	0
BUF	RB	3	1	8	8	0	0	0	0	0	0	0	-0.1	-0.2
