ATL	RB	2	14	68	4.9	0	7	5	23	0	0	0	7	14.1
BUF	RB	2	21	79	3.8	0	5	3	21	0	0	0	6.5	13
CIN	RB	14	14	34	2.4	0	8	5	41	0	0	0	0.9	12.5
LAR	RB	4	27	74	2.7	0	3	2	27	0	0	0	3	12.1
KC	RB	3	2	-1	-0.5	0	3	2	37	1	0	0	3.9	11.6
LV	RB	10	30	115	3.8	0	1	1	9	0	1	1	1.1	11.4
ARI	RB	10	2	2	1	0	7	7	37	0	0	0	1.1	10.9
HOU	RB	1	7	-1	-0.1	0	2	2	28	1	1	0	10.7	10.7
BUF	FB	16	1	9	9	0	4	3	62	0	0	0	0.6	10.1
JAX	FB	16	1	0	0	0	9	6	41	0	0	0	0.6	10.1
LAC	RB	9	11	49	4.5	0	2	2	19	0	0	0	1	8.8
CAR	RB	9	19	71	3.7	0	1	1	3	0	1	0	0.9	8.4
PIT	FB	16	1	4	4	0	6	4	38	0	0	0	0.5	8.2
WAS	RB	6	3	9	3	0	6	4	30	0	0	0	1.3	7.9
LV	FB	16	1	0	0	0	7	5	23	0	0	0	0.5	7.3
MIN	RB	5	8	30	3.8	0	4	2	21	0	0	0	1.4	7.1
MIN	RB	8	11	47	4.3	0	3	2	1	0	0	0	0.8	6.8
WAS	RB	5	8	32	4	0	4	3	5	0	0	0	1.3	6.7
HOU	RB	9	0	0	0	0	4	3	35	0	1	0	0.7	6.5
TB	RB	5	6	29	4.8	0	5	3	5	0	0	0	1.3	6.4
SEA	RB	14	3	3	1	0	3	2	35	0	0	0	0.4	5.8
DET	FB	14	1	0	0	0	4	4	15	0	0	0	0.4	5.5
SEA	RB	5	1	-3	-3	0	3	3	22	0	0	0	1	4.9
NO	RB	4	16	43	2.7	0	1	1	9	0	1	1	1	4.2
NE	RB	1	4	25	6.2	0	1	1	6	0	0	0	4.1	4.1
BAL	RB	4	1	4	4	0	2	2	17	0	0	0	1	4.1
ATL	FB	12	0	0	0	0	4	3	11	0	0	0	0.3	4.1
ARI	FB	16	2	3	1.5	0	3	2	17	0	0	0	0.2	4
CHI	RB	15	11	20	1.8	0	2	1	9	0	0	0	0.3	3.9
MIN	RB	10	1	1	1	0	4	3	28	0	1	1	0.4	3.9
JAX	RB	3	8	36	4.5	0	0	0	0	0	0	0	1.2	3.6
JAX	RB	2	6	7	1.2	0	3	2	7	0	0	0	1.7	3.4
DAL	FB	16	0	0	0	0	4	2	13	0	0	0	0.2	3.3
CAR	RB	1	11	17	1.5	0	1	1	5	0	0	0	3.2	3.2
TB	FB	14	0	0	0	0	5	2	9	0	0	0	0.2	2.9
ATL	RB	1	9	25	2.8	0	0	0	0	0	0	0	2.5	2.5
LAC	FB	16	4	11	2.8	0	1	1	2	0	0	0	0.1	2.3
LAR	RB	11	2	19	9.5	0	0	0	0	0	0	0	0.2	1.9
NYG	RB	3	6	17	2.8	0	0	0	0	0	0	0	0.6	1.7
TEN	RB	7	4	16	4	0	0	0	0	0	0	0	0.2	1.6
DAL	RB	4	6	16	2.7	0	1	0	0	0	0	0	0.4	1.6
CHI	FB	8	0	0	0	0	1	1	6	0	0	0	0.2	1.6
JAX	RB	3	6	15	2.5	0	0	0	0	0	0	0	0.5	1.5
GB	FB	5	0	0	0	0	2	1	2	0	0	0	0.2	1.2
IND	RB	3	3	0	0	0	1	1	1	0	0	0	0.4	1.1
IND	RB	1	2	9	4.5	0	0	0	0	0	0	0	0.9	0.9
WAS	RB	2	4	8	2	0	0	0	0	0	0	0	0.4	0.8
SEA	RB	5	3	8	2.7	0	1	0	0	0	0	0	0.2	0.8
IND	RB	1	2	4	2	0	0	0	0	0	0	0	0.4	0.4
IND	RB	2	4	10	2.5	0	2	1	3	0	1	1	0.2	0.3
BUF	RB	6	0	0	0	0	2	0	0	0	0	0	0	0
MIA	RB	16	0	0	0	0	0	0	0	0	0	0	0	0
PIT	RB	4	0	0	0	0	0	0	0	0	0	0	0	0
BAL	FB	10	0	0	0	0	0	0	0	0	0	0	0	0
CIN	RB	1	0	0	0	0	0	0	0	0	0	0	0	0
SF	RB	6	0	0	0	0	0	0	0	0	0	0	0	0
NYG	FB	2	0	0	0	0	0	0	0	0	0	0	0	0
GB	RB	6	0	0	0	0	0	0	0	0	0	0	0	0
TB	RB	2	0	0	0	0	0	0	0	0	0	0	0	0
HOU	RB	15	0	0	0	0	0	0	0	0	0	0	0	0
PHI	RB	1	0	0	0	0	0	0	0	0	0	0	0	0
NYJ	RB	1	2	19	9.5	0	0	0	0	0	1	1	-0.1	-0.1
