NE	RB	3	7	24	3.4	0	2	1	2	0	0	0	1.2	3.6
GB	RB	3	10	32	3.2	0	1	0	0	0	0	0	1.1	3.2
TEN	RB	16	1	3	3	0	2	1	14	0	0	0	0.2	2.7
NYJ	RB	3	0	0	0	0	0	0	0	0	0	0	0.8	2.5
HOU	FB	15	4	9	2.2	0	1	1	6	0	0	0	0.2	2.5
PIT	FB	10	0	0	0	0	2	2	5	0	0	0	0.2	2.5
CHI	RB	10	3	8	2.7	0	1	1	3	0	0	0	0.2	2.1
CIN	RB	6	6	15	2.5	0	1	0	0	0	0	0	0.2	1.5
TEN	RB	16	2	15	7.5	0	0	0	0	0	0	0	0.1	1.5
MIN	FB	15	7	15	2.1	0	3	0	0	0	0	0	0.1	1.5
DET	RB	7	3	6	2	0	1	1	-2	0	0	0	0.2	1.4
LAR	RB	16	0	0	0	0	1	1	4	0	0	0	0.1	1.4
DAL	RB	7	0	0	0	0	1	1	4	0	0	0	0.2	1.4
NO	RB	3	0	0	0	0	1	1	3	0	0	0	0.4	1.3
SEA	RB	2	3	12	4	0	0	0	0	0	0	0	0.6	1.2
ARI	RB	15	4	12	3	0	0	0	0	0	0	0	0.1	1.2
JAX	RB	3	2	11	5.5	0	1	0	0	0	0	0	0.4	1.1
HOU	RB	12	1	3	3	0	5	3	18	0	3	2	0.1	1.1
JAX	RB	1	2	7	3.5	0	0	0	0	0	0	0	0.7	0.7
JAX	RB	3	2	7	3.5	0	0	0	0	0	0	0	0.2	0.7
ATL	RB	1	3	7	2.3	0	0	0	0	0	0	0	0.7	0.7
SF	RB	3	1	6	6	0	0	0	0	0	0	0	0.2	0.6
SEA	FB	7	2	2	1	0	1	0	0	0	0	0	0	0.2
NYJ	RB	1	8	22	2.8	0	0	0	0	0	1	1	0.2	0.2
TB	FB	1	0	0	0	0	0	0	0	0	0	0	0	0
SEA	FB	1	0	0	0	0	0	0	0	0	0	0	0	0
BUF	FB	1	0	0	0	0	0	0	0	0	0	0	0	0
DET	FB	15	0	0	0	0	1	0	0	0	0	0	0	0
TB	RB	2	0	0	0	0	0	0	0	0	0	0	0	0
NYJ	RB	2	0	0	0	0	0	0	0	0	0	0	0	0
GB	FB	8	1	0	0	0	0	0	0	0	0	0	0	0
LAR	RB	2	0	0	0	0	0	0	0	0	0	0	0	0
NYJ	RB	1	2	-4	-2	0	0	0	0	0	0	0	-0.4	-0.4
