TEN	RB	6	22	95	4.3	0	1	1	5	1	0	0	2.8	17
CAR	RB	2	12	69	5.8	0	2	2	18	1	0	0	8.4	16.7
PIT	RB	14	9	28	3.1	0	14	9	46	0	0	0	1.2	16.4
BUF	RB	3	10	70	7	0	4	1	22	1	1	0	5.4	16.2
TEN	RB	5	14	54	3.9	0	4	2	27	1	0	0	3.2	16.1
NYG	RB	2	19	34	1.8	0	9	6	60	0	0	0	7.7	15.4
MIN	RB	16	11	59	5.4	1	2	2	10	0	0	0	0.9	14.9
JAX	RB	8	1	1	1	0	9	9	42	0	0	0	1.7	13.3
BAL	RB	12	12	60	5	0	5	5	20	0	0	0	1.1	13
SF	RB	8	28	53	1.9	0	5	4	34	0	0	0	1.6	12.7
HOU	RB	10	10	19	1.9	0	5	5	18	1	1	1	1.3	12.7
NE	RB	6	23	110	4.8	0	2	1	4	0	0	0	2.1	12.4
LV	RB	4	6	14	2.3	0	6	5	43	0	0	0	2.7	10.7
BUF	FB	14	0	0	0	0	2	2	16	1	0	0	0.7	9.6
CHI	RB	5	6	34	5.7	1	0	0	0	0	0	0	1.9	9.4
IND	RB	1	4	26	6.5	0	3	3	30	0	0	0	8.6	8.6
NO	FB	15	7	18	2.6	0	4	4	28	0	0	0	0.6	8.6
KC	FB	13	3	8	2.7	0	2	1	5	1	0	0	0.6	8.3
ARI	RB	14	0	0	0	0	1	1	11	1	0	0	0.6	8.1
CAR	RB	14	10	33	3.3	0	3	3	16	0	0	0	0.6	7.9
TEN	FB	15	0	0	0	0	5	4	39	0	0	0	0.5	7.9
DET	FB	16	1	0	0	0	3	2	8	0	0	0	0.5	7.8
HOU	RB	14	16	64	4	0	2	1	3	0	0	0	0.6	7.7
CAR	FB	16	6	9	1.5	0	9	5	18	0	0	0	0.5	7.7
HOU	RB	7	9	48	5.3	0	1	1	2	0	0	0	0.9	6
NYG	RB	14	6	15	2.5	0	3	2	20	0	0	0	0.4	5.5
DET	RB	5	1	5	5	0	4	4	21	0	1	1	0.9	4.6
SF	RB	4	1	3	3	0	1	1	27	0	0	0	1	4
CLE	FB	14	2	4	2	0	5	2	13	0	0	0	0.3	3.7
SEA	RB	3	11	34	3.1	0	0	0	0	0	0	0	1.1	3.4
SEA	RB	1	6	31	5.2	0	0	0	0	0	0	0	3.1	3.1
PHI	RB	5	5	19	3.8	0	2	1	0	0	0	0	0.6	2.9
MIA	FB	8	0	0	0	0	2	2	9	0	0	0	0.4	2.9
HOU	RB	8	2	9	4.5	0	1	1	7	0	0	0	0.3	2.6
DEN	RB	5	4	11	2.8	0	1	1	5	0	0	0	0.5	2.6
