NYJ	RB	14	9	33	3.7	0	9	4	23	0	0	0	0.7	9.6
TEN	FB	16	4	5	1.2	0	8	5	40	0	0	0	0.6	9.5
CLE	RB	2	8	54	6.8	0	4	2	20	0	0	0	4.7	9.4
JAX	RB	5	23	92	4	0	1	0	0	0	0	0	1.8	9.2
CHI	RB	7	29	76	2.6	0	2	2	13	0	1	1	1.3	8.9
ARI	FB	13	0	0	0	0	8	5	39	0	0	0	0.7	8.9
KC	RB	10	7	44	6.3	0	3	2	18	0	0	0	0.8	8.2
LAR	RB	15	10	54	5.4	0	4	3	16	0	2	1	0.5	8
NO	RB	13	1	5	5	0	8	5	44	0	1	1	0.6	7.9
CIN	FB	14	0	0	0	0	3	1	1	1	0	0	0.5	7.1
MIN	FB	16	0	0	0	0	4	3	35	0	0	0	0.4	6.5
TEN	RB	2	2	14	7	0	5	3	12	0	0	0	2.8	5.6
LV	RB	14	6	21	3.5	0	2	2	11	0	1	0	0.4	5.2
ATL	FB	8	0	0	0	0	3	3	22	0	0	0	0.6	5.2
KC	RB	11	5	18	3.6	0	3	1	19	0	0	0	0.4	4.7
ARI	RB	11	0	0	0	0	3	2	21	0	0	0	0.4	4.1
CIN	RB	2	8	35	4.4	0	0	0	0	0	0	0	1.8	3.5
GB	RB	7	8	34	4.2	0	0	0	0	0	0	0	0.5	3.4
NYJ	FB	16	0	0	0	0	1	1	23	0	1	0	0.2	3.3
JAX	RB	9	2	6	3	0	2	2	7	0	0	0	0.4	3.3
WAS	RB	14	2	3	1.5	0	2	2	9	0	0	0	0.2	3.2
NYG	RB	5	9	42	4.7	0	2	0	0	0	1	1	0.4	2.2
DEN	RB	14	0	0	0	0	1	1	11	0	0	0	0.2	2.1
MIN	RB	16	3	9	3	0	1	1	2	0	0	0	0.1	2.1
TEN	FB	2	5	19	3.8	0	0	0	0	0	0	0	1	1.9
BUF	FB	16	0	0	0	0	2	1	9	0	0	0	0.1	1.9
ATL	FB	6	0	0	0	0	7	1	8	0	0	0	0.3	1.8
JAX	RB	1	3	8	2.7	0	1	1	0	0	0	0	1.8	1.8
IND	FB	5	1	5	5	0	1	1	3	0	0	0	0.4	1.8
ARI	FB	3	0	0	0	0	1	1	7	0	0	0	0.6	1.7
JAX	FB	6	0	0	0	0	1	1	5	0	0	0	0.2	1.5
MIA	RB	16	1	8	8	0	2	1	15	0	1	1	0.1	1.3
CLE	FB	2	0	0	0	0	1	1	3	0	0	0	0.6	1.3
BUF	RB	4	1	-1	-1	0	0	0	0	0	0	0	0.3	1.1
NYG	RB	4	6	9	1.5	0	0	0	0	0	0	0	0.2	0.9
SF	RB	2	5	7	1.4	0	0	0	0	0	0	0	0.4	0.7
CIN	RB	3	4	5	1.2	0	1	0	0	0	0	0	0.2	0.5
LV	FB	13	2	1	0.5	0	0	0	0	0	0	0	0	0.1
CIN	FB	5	0	0	0	0	2	0	0	0	0	0	0	0
ATL	RB	13	0	0	0	0	1	0	0	0	0	0	0	0
NYG	RB	2	0	0	0	0	0	0	0	0	0	0	0	0
SF	FB	14	0	0	0	0	0	0	0	0	0	0	0	0
CLE	FB	10	0	0	0	0	5	0	0	0	0	0	0	0
CAR	FB	16	0	0	0	0	1	0	0	0	0	0	0	0
TEN	RB	1	0	0	0	0	0	0	0	0	0	0	0	0
NYJ	RB	1	0	0	0	0	0	0	0	0	0	0	0	0
NE	FB	1	0	0	0	0	0	0	0	0	0	0	0	0
IND	RB	3	0	0	0	0	0	0	0	0	0	0	0	0
LV	FB	3	0	0	0	0	0	0	0	0	0	0	0	0
GB	RB	6	0	0	0	0	0	0	0	0	0	0	0	0
LAR	RB	3	0	0	0	0	0	0	0	0	0	0	0	0
KC	FB	5	0	0	0	0	1	0	0	0	0	0	0	0
PHI	RB	7	0	0	0	0	0	0	0	0	0	0	0	0
HOU	FB	16	0	0	0	0	0	0	0	0	0	0	0	0
CAR	RB	4	3	0	0	0	0	0	0	0	0	0	0	0
TB	RB	1	0	0	0	0	0	0	0	0	0	0	0	0
PHI	RB	3	0	0	0	0	0	0	0	0	0	0	0	0
LAR	FB	9	0	0	0	0	3	0	0	0	1	1	-0.2	-2
