"RK",TIERS,"PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"73",7,"Giovani Bernard",FA,"RB30","36","126","76.0","16.1","+5"
"74",7,"Eli Manning",FA,"QB11","52","149","78.8","14.7","+9"
"75",7,"Charles Johnson",FA,"WR29","50","142","79.7","16.4","+14"
"76",7,"Joique Bell",FA,"RB31","40","135","80.3","19.2","-5"
"77",7,"Steve Smith",FA,"WR30","50","112","81.3","11.2","+8"
"78",7,"Rashad Jennings",FA,"RB32","39","120","81.8","16.4","-8"
"79",7,"Nelson Agholor",BAL,"WR31","51","131","82.2","15.7","+3"
"80",7,"Mike Wallace",FA,"WR32","50","165","83.3","17.2","+1"
"81",7,"Tevin Coleman",FA,"RB33","35","130","83.5","18.4","+9"
"82",7,"Eric Decker",FA,"WR33","53","145","84.0","15.5","+19"
"83",7,"Larry Fitzgerald",FA,"WR34","54","138","84.4","14.2","+9"
"84",7,"John Brown",FA,"WR35","55","124","84.7","14.4","+12"
"85",8,"Isaiah Crowell",FA,"RB34","38","145","86.6","20.7","+6"
"86",8,"Cam Newton",FA,"QB12","40","145","84.1","19.1","-2"
"87",8,"Anquan Boldin",FA,"WR36","54","136","88.0","17.1","+17"
"88",8,"Roddy White",FA,"WR37","53","135","88.1","15.1","+5"
"89",8,"Jordan Cameron",FA,"TE6","66","123","89.0","12.0","-3"
"90",8,"Matthew Stafford",LAR,"QB13","52","143","84.0","16.8","-17"
"91",8,"Sam Bradford",FA,"QB14","63","165","93.1","18.4","+9"
"92",8,"Jason Witten",FA,"TE7","65","132","94.2","12.1","-18"
"93",8,"Torrey Smith",FA,"WR38","64","141","95.3","15.1","+10"
"94",8,"Martavis Bryant",FA,"WR39","47","186","96.8","26.1","-19"
"95",8,"Delanie Walker",FA,"TE8","71","163","95.3","15.7","+10"
"96",8,"Philip Rivers",FA,"QB15","69","164","97.5","18.1","-1"
"97",8,"Marques Colston",FA,"WR40","66","148","101.4","16.6","+17"
"98",8,"Shane Vereen",FA,"RB35","48","165","101.8","21.6","+11"
"99",8,"Kendall Wright",FA,"WR41","60","166","103.8","17.3","+21"
"100",8,"Ryan Mathews",FA,"RB36","68","152","101.3","15.4","-1"
"101",8,"Michael Floyd",FA,"WR42","68","155","105.5","18.6","+14"
"102",8,"Bishop Sankey",FA,"RB37","57","173","106.1","18.6","+19"
"103",8,"Devonta Freeman",FA,"RB38","68","151","106.0","18.1","+7"
"104",8,"Pierre Garcon",FA,"WR43","75","178","108.7","17.0","+14"
"105",8,"Tyler Eifert",FA,"TE9","71","196","110.1","20.9","+32"
"106",8,"Zach Ertz",ARI,"TE10","67","177","110.4","20.9","+6"
"107",8,"Tre Mason",FA,"RB39","55","168","111.2","20.3","-5"
"108",8,"Teddy Bridgewater",FA,"QB16","68","172","111.8","16.1","+9"
"109",9,"Devin Funchess",FA,"WR44","77","182","112.4","22.9","+7"
"110",9,"Duke Johnson Jr.",FA,"RB40","62","162","112.2","20.6","+26"
"111",9,"Eddie Royal",FA,"WR45","70","285","112.4","27.5","+35"
"112",9,"Kyle Rudolph",FA,"TE11","70","190","118.8","19.1","+35"
"113",9,"Darren McFadden",FA,"RB41","56","196","119.8","27.9","-5"
"114",9,"Terrance Williams",FA,"WR46","83","161","119.9","17.0","+16"
"115",9,"Danny Woodhead",FA,"RB42","68","181","117.9","22.8","+33"
"116",9,"Steve Johnson",FA,"WR47","77","186","122.1","23.8","+55"
"117",9,"Owen Daniels",FA,"TE12","76","188","125.4","22.6","+2"
"118",9,"Carson Palmer",FA,"QB17","79","284","123.8","23.4","+24"
"119",9,"Brian Quick",FA,"WR48","79","199","121.7","22.4","+60"
"120",9,"Colin Kaepernick",FA,"QB18","67","193","122.0","19.9","+11"
"121",9,"Rueben Randle",FA,"WR49","90","210","123.3","19.9","+75"
