TB	TE	11	7	3	42.9	41	0	20	5.9	13.7	0	0	0	0	0	0	0.6	7.1
SF	TE	14	4	3	75	36	0	18	9	12	0	0	0	0	0	0	0.5	6.6
HOU	TE	7	7	3	42.9	35	0	23	5	11.7	0	0	0	0	0	0	0.9	6.5
NYJ	TE	2	6	2	33.3	35	0	19	5.8	17.5	0	0	0	0	0	0	2.8	5.5
ATL	TE	16	5	3	60	25	0	11	5	8.3	0	0	0	0	0	0	0.3	5.5
DET	TE	5	3	1	33.3	44	0	44	14.7	44	0	0	0	0	0	0	1.1	5.4
NYJ	TE	16	2	2	100	31	0	18	15.5	15.5	0	0	0	0	0	0	0.3	5.1
NE	TE	6	5	3	60	16	0	8	3.2	5.3	0	0	0	0	1	0	0.8	4.6
JAX	TE	8	4	3	75	16	0	9	4	5.3	0	0	0	0	0	0	0.6	4.6
CLE	TE	16	2	1	50	11	0	11	5.5	11	0	0	0	0	0	0	0.3	4.1
JAX	TE	7	4	1	25	10	0	10	2.5	10	0	0	0	0	0	0	0.6	4
SEA	TE	6	2	2	100	16	0	10	8	8	0	0	0	0	0	0	0.6	3.6
WAS	TE	6	7	1	14.3	3	0	3	0.4	3	1	22	22	0	0	0	0.6	3.5
DEN	TE	5	4	2	50	5	0	5	1.2	2.5	0	0	0	0	0	0	0.5	2.5
CAR	TE	1	0	0	0	0	0	0	0	0	4	24	6	0	0	0	2.4	2.4
LV	TE	16	1	1	100	14	0	14	14	14	0	0	0	0	0	0	0.2	2.4
BAL	TE	8	3	1	33.3	12	0	12	4	12	0	0	0	0	0	0	0.3	2.2
GB	TE	2	2	1	50	12	0	12	6	12	0	0	0	0	0	0	1.1	2.2
DAL	TE	1	1	1	100	12	0	12	12	12	0	0	0	0	0	0	2.2	2.2
WAS	TE	8	2	1	50	10	0	10	5	10	0	0	0	0	0	0	0.2	2
WAS	TE	16	3	1	33.3	6	0	6	2	6	0	0	0	0	0	0	0.1	1.6
MIN	TE	3	1	1	100	6	0	6	6	6	0	0	0	0	0	0	0.5	1.6
NYJ	TE	12	2	1	50	5	0	5	2.5	5	1	0	0	0	0	0	0.1	1.5
DET	TE	7	2	1	50	3	0	3	1.5	3	0	0	0	0	0	0	0.2	1.3
WAS	TE	8	1	1	100	2	0	2	2	2	0	0	0	0	0	0	0.2	1.2
KC	TE	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IND	TE	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JAX	TE	8	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CHI	TE	16	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TB	TE	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DAL	TE	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LAR	TE	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PIT	TE	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BAL	TE	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DEN	TE	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IND	TE	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CIN	TE	14	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NO	TE	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SF	TE	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARI	TE	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BUF	TE	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SEA	TE	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NYJ	TE	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PHI	TE	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BAL	TE	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PIT	TE	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARI	TE	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIN	TE	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SF	TE	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LAC	TE	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
