SEA	WR	16	53	26	49.1	445	5	54	8.4	17.1	1	5	5	0	2	0	6.3	101
NO	WR	15	44	28	63.6	427	5	62	9.7	15.2	0	0	0	0	0	0	6.7	100.7
LAR	WR	16	53	29	54.7	402	5	33	7.6	13.9	2	8	4	0	0	0	6.2	100
BUF	WR	13	44	27	61.4	541	3	75	12.3	20	0	0	0	0	0	0	7.6	99.1
DAL	WR	16	68	33	48.5	507	2	49	7.5	15.4	0	0	0	0	0	0	6.1	97.7
CAR	WR	16	59	43	72.9	447	1	33	7.6	10.4	2	39	19.5	0	3	1	6.1	97.6
MIA	WR	7	35	26	74.3	391	4	75	11.2	15	8	16	2	0	0	0	13.8	96.78
KC	WR	16	52	32	61.5	334	5	27	6.4	10.4	0	0	0	0	2	2	5.7	91.4
NE	WR	15	28	21	75	247	3	55	8.8	11.8	42	228	5.4	1	1	1	6	90.5
JAX	WR	16	70	38	54.3	491	1	35	7	12.9	0	0	0	0	2	2	5.6	89.1
TEN	WR	13	56	37	66.1	466	1	55	8.3	12.6	0	0	0	0	1	1	6.7	87.6
SF	WR	11	43	23	53.5	395	4	67	9.2	17.2	4	9	2.2	0	1	0	7.9	87.4
NYJ	WR	11	69	38	55.1	449	1	42	6.5	11.8	1	0	0	0	2	1	7.9	86.9
GB	WR	9	61	38	62.3	383	2	75	6.3	10.1	0	0	0	0	2	1	9.6	86.3
CIN	WR	13	58	21	36.2	210	7	39	3.6	10	4	9	2.2	0	0	0	6.5	84.9
WAS	WR	9	50	29	58	388	2	79	7.8	13.4	4	30	7.5	0	0	0	9.2	82.8
NE	WR	16	42	32	76.2	290	3	20	6.9	9.1	4	29	7.2	0	0	0	5.1	81.9
NYJ	WR	14	76	37	48.7	371	1	29	4.9	10	0	0	0	0	0	0	5.7	80.1
IND	WR	9	39	28	71.8	304	3	29	7.8	10.9	0	0	0	0	0	0	8.5	76.4
KC	WR	16	33	22	66.7	288	4	89	8.7	13.1	0	0	0	0	0	0	4.7	74.8
IND	WR	14	51	35	68.6	334	1	23	6.5	9.5	0	0	0	0	0	0	5.3	74.4
TEN	WR	16	47	26	55.3	316	2	28	6.7	12.2	1	16	16	0	0	0	4.4	71.2
MIN	WR	15	53	35	66	302	1	22	5.7	8.6	0	0	0	0	0	0	4.7	71.2
MIN	WR	14	35	17	48.6	231	5	40	6.6	13.6	0	0	0	0	0	0	5	70.1
PIT	WR	16	44	36	81.8	253	1	24	5.8	7	6	21	3.5	0	2	0	4.3	69.4
KC	WR	15	67	25	37.3	380	1	40	5.7	15.2	0	0	0	0	0	0	4.6	69
IND	WR	16	46	27	58.7	268	2	28	5.8	9.9	2	10	5	0	0	0	4.2	66.8
DEN	WR	14	46	30	65.2	243	2	24	5.3	8.1	0	0	0	0	0	0	4.7	66.3
HOU	WR	6	41	28	68.3	287	1	40	7	10.2	3	0	0	0	0	0	10.4	62.7
GB	WR	5	30	20	66.7	303	2	64	10.1	15.2	0	0	0	0	1	0	12.5	62.3
CLE	WR	10	25	16	64	340	2	66	13.6	21.2	4	2	0.5	0	0	0	6.2	62.2
PHI	WR	14	28	20	71.4	300	2	56	10.7	15	0	0	0	0	0	0	4.4	62
DAL	WR	16	36	20	55.6	295	2	49	8.2	14.8	0	0	0	0	1	0	3.8	61.5
MIA	WR	11	47	24	51.1	309	1	46	6.6	12.9	0	0	0	0	0	0	5.5	60.9
SEA	WR	15	20	14	70	166	5	45	8.3	11.9	0	0	0	0	0	0	4	60.6
MIA	WR	10	34	21	61.8	268	2	52	7.9	12.8	1	5	5	0	0	0	6	60.3
