MIN	WR	16	43	26	60.5	434	3	42	10.1	16.7	0	0	0	0	0	0	5.5	87.4
JAX	WR	11	56	32	57.1	446	2	43	8	13.9	0	0	0	0	2	1	7.9	86.6
WAS	WR	10	50	30	60	375	3	29	7.5	12.5	0	0	0	0	0	0	8.6	85.5
NYG	WR	15	44	29	65.9	329	2	30	7.5	11.3	2	57	28.5	1	1	1	5.6	83.6
CHI	WR	15	43	32	74.4	243	4	17	5.7	7.6	0	0	0	0	0	0	5.5	82.3
MIA	WR	7	43	30	69.8	326	3	46	7.6	10.9	0	0	0	0	0	0	11.5	80.6
SEA	WR	15	38	22	57.9	346	4	43	9.1	15.7	0	0	0	0	1	1	5.2	78.6
TEN	WR	14	42	18	42.9	354	4	57	8.4	19.7	0	0	0	0	0	0	5.5	77.4
JAX	WR	4	48	29	60.4	415	1	67	8.6	14.3	1	-1	-1	0	0	0	19.1	76.4
NYJ	WR	11	59	23	39	456	1	69	7.7	19.8	0	0	0	0	0	0	6.8	74.6
LV	WR	10	52	25	48.1	431	1	40	8.3	17.2	0	0	0	0	0	0	7.4	74.1
BUF	WR	16	58	23	39.7	361	2	47	6.2	15.7	4	14	3.5	0	1	1	4.4	70.5
IND	WR	16	64	29	45.3	309	1	27	4.8	10.7	3	26	8.7	0	0	0	4.3	68.5
WAS	WR	16	46	18	39.1	365	2	62	7.9	20.3	3	-4	-1.3	0	0	0	4.1	66.1
BUF	WR	12	32	17	53.1	283	3	59	8.8	16.6	3	13	4.3	0	1	1	5.2	62.6
NYJ	WR	12	59	24	40.7	342	1	51	5.8	14.2	0	0	0	0	1	1	5.2	62.2
IND	WR	9	40	24	60	259	2	25	6.5	10.8	0	0	0	0	0	0	6.9	61.9
NO	WR	15	30	16	53.3	324	2	60	10.8	20.2	2	-1	-0.5	0	0	0	4	60.3
LAR	WR	16	35	18	51.4	302	2	73	8.6	16.8	0	0	0	0	0	0	3.8	60.2
DET	WR	16	45	21	46.7	269	2	43	6	12.8	0	0	0	0	0	0	3.7	59.9
HOU	WR	16	40	22	55	253	2	32	6.3	11.5	0	0	0	0	2	1	3.6	57.3
TB	WR	6	40	22	55	216	2	28	5.4	9.8	0	0	0	0	0	0	9.3	55.6
DEN	WR	16	29	16	55.2	200	3	36	6.9	12.5	1	7	7	0	0	0	3.4	54.7
SEA	WR	8	35	15	42.9	231	3	31	6.6	15.4	0	0	0	0	1	1	6.8	54.1
SF	WR	5	33	19	57.6	284	1	60	8.6	14.9	0	0	0	0	0	0	10.7	53.4
JAX	WR	10	34	22	64.7	229	1	17	6.7	10.4	0	0	0	0	0	0	5.1	50.9
LAR	WR	16	25	17	68	226	0	28	9	13.3	2	33	16.5	1	0	0	3.1	48.9
DAL	WR	11	49	24	49	244	0	20	5	10.2	0	0	0	0	0	0	4.4	48.4
BAL	WR	15	36	19	52.8	305	0	63	8.5	16.1	0	0	0	0	1	1	3.2	47.5
ATL	WR	10	43	22	51.2	210	1	17	4.9	9.5	0	0	0	0	1	1	4.7	47
ATL	WR	16	17	12	70.6	216	2	59	12.7	18	0	0	0	0	0	0	2.8	45.6
IND	WR	5	23	14	60.9	192	2	69	8.3	13.7	1	0	0	0	0	0	9	45.2
WAS	WR	14	33	20	60.6	214	0	21	6.5	10.7	2	13	6.5	0	2	0	3	42.7
IND	WR	10	27	12	44.4	161	2	29	6	13.4	0	0	0	0	1	0	4	40.1
KC	WR	16	19	13	68.4	125	2	24	6.6	9.6	0	0	0	0	2	1	2.2	35.5
CIN	WR	8	18	12	66.7	199	0	50	11.1	16.6	2	3	1.5	0	1	0	4	32.2
ARI	WR	16	18	11	61.1	140	1	32	7.8	12.7	0	0	0	0	0	0	1.9	31
TEN	WR	10	23	15	65.2	178	0	32	7.7	11.9	0	0	0	0	2	1	3.1	30.8
HOU	WR	14	25	15	60	155	0	42	6.2	10.3	0	0	0	0	0	0	2.2	30.5
DAL	WR	13	14	9	64.3	80	2	24	5.7	8.9	1	6	6	0	2	1	2.1	27.6
KC	WR	10	27	12	44.4	113	0	16	4.2	9.4	2	23	11.5	0	2	0	2.6	25.6
BAL	WR	6	21	13	61.9	115	0	18	5.5	8.8	0	0	0	0	0	0	4.1	24.5
TB	WR	9	20	13	65	114	0	20	5.7	8.8	0	0	0	0	0	0	2.7	24.4
NYJ	WR	6	24	12	50	122	0	34	5.1	10.2	0	0	0	0	0	0	4	24.2
LV	WR	14	24	13	54.2	99	0	22	4.1	7.6	5	15	3	0	4	1	1.6	22.4
NYJ	WR	8	13	8	61.5	143	0	44	11	17.9	0	0	0	0	0	0	2.8	22.3
KC	WR	16	17	8	47.1	130	0	48	7.6	16.2	2	6	3	0	0	0	1.4	21.6
NE	WR	9	19	9	47.4	121	0	30	6.4	13.4	0	0	0	0	0	0	2.3	21.1
LAC	WR	2	11	6	54.5	149	0	47	13.5	24.8	0	0	0	0	0	0	10.4	20.9
TEN	WR	7	7	5	71.4	37	2	10	5.3	7.4	0	0	0	0	0	0	3	20.7
DET	WR	13	12	6	50	67	1	19	5.6	11.2	2	40	20	0	2	1	1.6	20.7
TEN	WR	12	35	11	31.4	96	0	15	2.7	8.7	0	0	0	0	0	0	1.7	20.6
BAL	WR	7	20	10	50	96	0	33	4.8	9.6	0	0	0	0	0	0	2.8	19.6
LV	WR	10	17	9	52.9	103	0	29	6.1	11.4	0	0	0	0	0	0	1.9	19.3
CAR	WR	15	9	7	77.8	55	1	14	6.1	7.9	0	0	0	0	0	0	1.2	18.5
BUF	WR	16	17	10	58.8	83	0	16	4.9	8.3	0	0	0	0	0	0	1.1	18.3
CLE	WR	8	13	5	38.5	105	0	39	8.1	21	1	45	45	0	2	1	2.2	18
ARI	WR	5	10	4	40	136	0	63	13.6	34	0	0	0	0	0	0	3.5	17.6
SF	WR	6	23	9	39.1	85	0	14	3.7	9.4	0	0	0	0	0	0	2.9	17.5
PHI	WR	16	9	4	44.4	67	1	37	7.4	16.8	0	0	0	0	0	0	1	16.7
