BUF	WR	16	63	35	55.6	549	6	49	8.7	15.7	0	0	0	0	0	0	7.9	125.9
TB	WR	7	62	42	67.7	545	4	62	8.8	13	1	6	6	0	0	0	17.3	121.1
PHI	WR	17	62	43	69.4	647	1	91	10.4	15	1	3	3	0	0	0	6.8	116
NYJ	WR	16	65	46	70.8	431	2	46	6.6	9.4	7	40	5.7	2	1	1	7.2	115.1
NO	WR	13	59	36	61	570	3	72	9.7	15.8	5	41	8.2	0	2	1	8.7	113.1
CLE	WR	14	58	34	58.6	597	3	60	10.3	17.6	0	0	0	0	2	1	7.8	109.7
NYJ	WR	12	71	51	71.8	447	2	29	6.3	8.8	0	0	0	0	1	1	9.1	109.7
LV	WR	16	59	34	57.6	571	3	51	9.7	16.8	1	0	0	0	1	0	6.8	109.1
ARI	WR	14	65	54	83.1	435	1	77	6.7	8.1	18	76	4.2	0	3	1	7.8	109.1
TEN	WR	16	57	38	66.7	476	4	46	8.4	12.5	0	0	0	0	1	1	6.7	107.6
LV	WR	17	70	47	67.1	546	1	43	7.8	11.6	2	3	1.5	0	1	1	6.2	105.9
NYJ	WR	9	59	34	57.6	492	4	53	8.3	14.5	0	0	0	0	2	1	11.7	105.2
MIA	WR	10	73	40	54.8	515	2	42	7.1	12.9	0	0	0	0	0	0	10.4	103.5
BAL	WR	12	67	46	68.7	515	1	36	7.7	11.2	0	0	0	0	0	0	8.6	103.5
NE	WR	15	64	37	57.8	473	3	44	7.4	12.8	3	11	3.7	0	0	0	6.9	103.4
LAC	WR	16	48	31	64.6	448	3	59	9.3	14.5	7	34	4.9	0	1	0	6.1	97.2
IND	WR	16	69	38	55.1	384	3	41	5.6	10.1	2	21	10.5	0	1	1	5.9	94.5
GB	WR	12	39	28	71.8	375	5	54	9.6	13.4	1	1	1	0	1	1	7.8	93.6
LAC	WR	17	49	33	67.3	353	4	36	7.2	10.7	1	6	6	0	0	0	5.5	92.9
DAL	WR	9	62	35	56.5	445	2	41	7.2	12.7	0	0	0	0	0	0	10.2	91.5
ATL	WR	17	53	31	58.5	406	3	49	7.7	13.1	1	2	2	0	0	0	5.3	89.8
NYG	WR	14	76	37	48.7	521	0	36	6.9	14.1	0	0	0	0	0	0	6.4	89.1
NO	WR	11	50	32	64	377	3	34	7.5	11.8	0	0	0	0	1	0	8	87.7
GB	WR	11	55	26	47.3	430	3	75	7.8	16.5	0	0	0	0	0	0	7.9	87
CHI	WR	12	66	38	57.6	410	1	39	6.2	10.8	0	0	0	0	0	0	7.2	87
SEA	WR	17	40	25	62.5	343	4	68	8.6	13.7	5	32	6.4	0	1	0	5.1	86.5
DEN	WR	10	56	38	67.9	467	0	40	8.3	12.3	2	3	1.5	0	1	0	8.5	85
LV	WR	7	36	24	66.7	469	2	61	13	19.5	3	16	5.3	0	0	0	12.1	84.5
HOU	WR	14	61	33	54.1	446	1	32	7.3	13.5	0	0	0	0	0	0	6	83.6
BAL	WR	16	47	33	70.2	272	2	21	5.8	8.2	7	50	7.1	1	1	0	5.2	83.2
JAX	WR	12	51	33	64.7	434	1	41	8.5	13.2	0	0	0	0	0	0	6.9	82.4
NYG	WR	10	57	39	68.4	420	0	38	7.4	10.8	3	6	2	0	0	0	8.2	82.36
SF	WR	16	38	24	63.2	282	5	34	7.4	11.8	0	0	0	0	1	0	5.1	82.2
DET	WR	12	49	29	59.2	396	2	39	8.1	13.7	0	0	0	0	0	0	6.7	80.6
WAS	WR	17	44	24	54.5	296	3	26	6.7	12.3	10	89	8.9	0	3	0	4.7	80.5
TEN	WR	10	48	31	64.6	434	1	51	9	14	0	0	0	0	0	0	8	80.4
