ATL	WR	15	11	10	90.9	102	2	40	9.3	10.2	0	0	0	0	0	0	2.1	32.2
KC	WR	6	26	15	57.7	176	0	27	6.8	11.7	0	0	0	0	1	1	5.1	30.6
LAR	WR	5	18	12	66.7	118	1	27	6.6	9.8	0	0	0	0	0	0	6	29.8
BUF	WR	8	19	8	42.1	142	1	80	7.5	17.8	0	0	0	0	0	0	3.5	28.2
NYJ	WR	8	6	6	100	78	1	36	13	13	1	23	23	1	0	0	3.5	28.1
LAC	WR	7	17	12	70.6	158	0	28	9.3	13.2	0	0	0	0	0	0	4	27.8
MIN	WR	16	14	8	57.1	137	1	44	9.8	17.1	0	0	0	0	0	0	1.7	27.7
CHI	WR	14	19	10	52.6	70	1	13	3.7	7	2	30	15	0	0	0	1.9	26
LV	WR	7	21	12	57.1	118	0	20	5.6	9.8	0	0	0	0	0	0	3.4	23.8
LV	WR	3	13	9	69.2	84	1	17	6.5	9.3	0	0	0	0	0	0	7.8	23.4
BAL	WR	4	9	7	77.8	102	1	19	11.3	14.6	0	0	0	0	0	0	5.8	23.2
KC	WR	14	21	12	57.1	108	0	17	5.1	9	0	0	0	0	0	0	1.6	22.8
WAS	WR	10	15	10	66.7	116	0	19	7.7	11.6	0	0	0	0	0	0	2.2	21.6
LV	WR	10	27	12	44.4	115	0	28	4.3	9.6	1	1	1	0	1	1	2.2	21.6
NO	WR	5	10	4	40	92	0	62	9.2	23	1	67	67	0	0	0	4	19.9
BAL	WR	16	18	9	50	131	0	31	7.3	14.6	3	16	5.3	0	4	2	1.2	19.7
PIT	WR	8	21	12	57.1	94	0	18	4.5	7.8	0	0	0	0	1	1	2.4	19.4
NE	WR	11	11	5	45.5	82	1	43	7.5	16.4	0	0	0	0	0	0	1.7	19.2
SEA	WR	9	10	9	90	102	0	31	10.2	11.3	0	0	0	0	0	0	2.1	19.2
NO	WR	11	21	7	33.3	114	0	25	5.4	16.3	0	0	0	0	0	0	1.7	18.4
KC	WR	9	15	9	60	93	0	27	6.2	10.3	2	-2	-1	0	1	0	2	18.1
TB	WR	8	12	6	50	58	1	16	4.8	9.7	1	0	0	0	0	0	2.2	17.8
NYJ	WR	12	8	3	37.5	87	1	67	10.9	29	0	0	0	0	0	0	1.5	17.7
CIN	WR	10	15	9	60	105	0	26	7	11.7	1	-1	-1	0	1	1	1.7	17.4
CIN	WR	11	16	5	31.2	91	0	30	5.7	18.2	3	30	10	0	0	0	1.6	17.1
PHI	WR	12	18	8	44.4	98	0	44	5.4	12.2	1	7	7	0	1	1	1.4	16.5
NYG	WR	14	8	5	62.5	52	1	20	6.5	10.4	0	0	0	0	0	0	1.2	16.2
DAL	WR	16	12	7	58.3	116	0	56	9.7	16.6	4	7	1.8	0	4	2	1	15.3
CHI	WR	9	14	8	57.1	67	0	15	4.8	8.4	0	0	0	0	1	0	1.6	14.7
NYJ	WR	6	16	8	50	65	0	17	4.1	8.1	0	0	0	0	2	0	2.4	14.5
HOU	WR	16	12	6	50	78	0	32	6.5	13	0	0	0	0	0	0	0.9	13.8
JAX	WR	5	15	7	46.7	88	0	17	5.9	12.6	0	0	0	0	1	1	2.8	13.8
WAS	WR	16	15	7	46.7	68	0	21	4.5	9.7	0	0	0	0	0	0	0.9	13.8
CIN	WR	6	12	6	50	69	0	21	5.8	11.5	0	0	0	0	0	0	2.2	12.9
SEA	WR	13	11	6	54.5	57	0	17	5.2	9.5	1	-2	-2	0	0	0	0.9	11.5
TEN	WR	4	11	6	54.5	54	0	14	4.9	9	0	0	0	0	0	0	2.8	11.4
TB	WR	16	8	4	50	63	0	23	7.9	15.8	0	0	0	0	0	0	0.6	10.3
NYG	WR	7	9	5	55.6	50	0	15	5.6	10	0	0	0	0	0	0	1.4	10
NYG	WR	2	9	6	66.7	40	0	11	4.4	6.7	1	-2	-2	0	0	0	4.9	9.8
DEN	WR	16	15	5	33.3	47	0	15	3.1	9.4	0	0	0	0	0	0	0.6	9.7
PHI	WR	8	5	5	100	46	0	15	9.2	9.2	0	0	0	0	0	0	1.2	9.6
JAX	WR	12	7	6	85.7	55	0	24	7.9	9.2	0	0	0	0	2	1	0.8	9.5
LAC	WR	16	12	4	33.3	45	0	17	3.8	11.2	0	0	0	0	0	0	0.5	8.5
KC	WR	16	11	4	36.4	45	0	22	4.1	11.2	0	0	0	0	0	0	0.5	8.5
SF	WR	4	8	3	37.5	44	0	35	5.5	14.7	1	20	20	0	1	1	1.8	7.4
NE	WR	4	5	3	60	38	0	16	7.6	12.7	0	0	0	0	0	0	1.7	6.8
BUF	WR	10	9	1	11.1	42	0	42	4.7	42	3	8	2.7	0	1	0	0.6	6
GB	WR	13	12	3	25	23	0	11	1.9	7.7	0	0	0	0	0	0	0.4	5.3
DET	WR	5	5	2	40	25	0	21	5	12.5	0	0	0	0	0	0	0.9	4.5
DEN	WR	8	4	2	50	23	0	14	5.8	11.5	0	0	0	0	0	0	0.5	4.3
PIT	WR	16	5	3	60	33	0	17	6.6	11	0	0	0	0	1	1	0.3	4.3
HOU	WR	1	1	1	100	30	0	30	30	30	0	0	0	0	0	0	4	4
DAL	WR	16	7	2	28.6	18	0	9	2.6	9	0	0	0	0	0	0	0.2	3.8
GB	WR	3	2	2	100	16	0	9	8	8	0	0	0	0	0	0	1.2	3.6
TB	WR	2	3	2	66.7	13	0	7	4.3	6.5	0	0	0	0	0	0	1.6	3.3
CAR	WR	7	3	1	33.3	16	0	16	5.3	16	0	0	0	0	0	0	0.4	2.6
LAR	WR	3	1	1	100	14	0	14	14	14	0	0	0	0	0	0	0.8	2.4
IND	WR	10	3	2	66.7	23	0	18	7.7	11.5	0	0	0	0	2	1	0.2	2.3
ATL	WR	4	2	1	50	11	0	11	5.5	11	0	0	0	0	0	0	0.5	2.1
TB	WR	7	0	0	0	0	0	0	0	0	1	19	19	0	1	0	0.3	1.9
IND	WR	6	1	1	100	8	0	8	8	8	0	0	0	0	2	0	0.3	1.8
CHI	WR	1	3	1	33.3	8	0	8	2.7	8	0	0	0	0	0	0	1.8	1.8
WAS	WR	5	3	1	33.3	6	0	6	2	6	0	0	0	0	0	0	0.3	1.6
GB	WR	3	2	1	50	4	0	4	2	4	0	0	0	0	0	0	0.5	1.4
CLE	WR	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PHI	WR	13	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NE	WR	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SF	WR	13	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BUF	WR	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATL	WR	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JAX	WR	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CHI	WR	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NYJ	WR	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BUF	WR	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLE	WR	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SEA	WR	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NYJ	WR	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WAS	WR	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SF	WR	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
NYG	WR	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATL	WR	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLE	WR	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CHI	WR	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CHI	WR	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NYG	WR	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLE	WR	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NE	WR	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TEN	WR	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NO	WR	9	1	1	100	7	0	7	7	7	0	0	0	0	2	1	0	-0.3
CHI	WR	7	0	0	0	0	0	0	0	0	1	-8	-8	0	0	0	-0.1	-0.8
NYJ	WR	4	0	0	0	0	0	0	0	0	0	0	0	0	1	1	-0.5	-2
DEN	WR	12	1	0	0	0	0	0	0	0	0	0	0	0	3	1	-0.2	-2
